measurement_method,scenario,variable,value,scheme,phase,m,B_MB,s,c,n,seconds,seconds_stddev,repeats,ok
protocol_execution,vary_s,s,40,FoldAudit,Audit,5,10,40,690,7813,0.544745014,0.023640625,3,True
protocol_execution,vary_s,s,60,YuTC25,Store,5,10,60,690,5209,3.785827264,0.010675024,3,True
protocol_execution,vary_s,s,60,YuTC25,Challenge,5,10,60,690,5209,0.010499695,6.7794e-05,3,True
protocol_execution,vary_s,s,60,YuTC25,ProofGen,5,10,60,690,5209,0.212128403,0.002197444,3,True
protocol_execution,vary_s,s,60,YuTC25,Verify,5,10,60,690,5209,0.383183917,0.005261746,3,True
protocol_execution,vary_s,s,60,YuTC25,Audit,5,10,60,690,5209,0.605812014,0.004020695,3,True
protocol_execution,vary_s,s,60,ZhangTPDS23,Store,5,10,60,690,5209,7.500880611,0.045321618,3,True
protocol_execution,vary_s,s,60,ZhangTPDS23,Challenge,5,10,60,690,5209,0.011074222,0.000974171,3,True
protocol_execution,vary_s,s,60,ZhangTPDS23,ProofGen,5,10,60,690,5209,0.52139825,0.020900715,3,True
protocol_execution,vary_s,s,60,ZhangTPDS23,Verify,5,10,60,690,5209,0.84405675,0.01895929,3,True
protocol_execution,vary_s,s,60,ZhangTPDS23,Audit,5,10,60,690,5209,1.376529222,0.028033082,3,True
protocol_execution,vary_s,s,60,MiaoSCIS2026,Store,5,10,60,690,5209,6.192421209,0.043819486,3,True
protocol_execution,vary_s,s,60,MiaoSCIS2026,Challenge,5,10,60,690,5209,0.005666917,0.00015795,3,True
protocol_execution,vary_s,s,60,MiaoSCIS2026,ProofGen,5,10,60,690,5209,0.277771125,0.008825026,3,True
protocol_execution,vary_s,s,60,MiaoSCIS2026,Verify,5,10,60,690,5209,0.542039569,0.004167722,3,True
protocol_execution,vary_s,s,60,MiaoSCIS2026,Audit,5,10,60,690,5209,0.825477611,0.01281889,3,True
protocol_execution,vary_s,s,60,XuTIFS26,Store,5,10,60,690,5209,3.848677097,0.063003446,3,True
protocol_execution,vary_s,s,60,XuTIFS26,Challenge,5,10,60,690,5209,0.002277098,0.00012953,3,True
protocol_execution,vary_s,s,60,XuTIFS26,ProofGen,5,10,60,690,5209,0.240879375,0.005592259,3,True
