measurement_method,scenario,variable,value,scheme,phase,m,B_MB,s,c,n,seconds,seconds_stddev,repeats,ok
protocol_execution,vary_m,m,15,ZhangTPDS23,Challenge,15,10,20,690,15625,0.030997973,0.000155411,3,True
protocol_execution,vary_m,m,15,ZhangTPDS23,ProofGen,15,10,20,690,15625,1.063682569,0.007212333,3,True
protocol_execution,vary_m,m,15,ZhangTPDS23,Verify,15,10,20,690,15625,2.518074458,0.025564905,3,True
protocol_execution,vary_m,m,15,ZhangTPDS23,Audit,15,10,20,690,15625,3.612755,0.029007517,3,True
protocol_execution,vary_m,m,15,MiaoSCIS2026,Store,15,10,20,690,15625,56.333967653,0.25259964,3,True
protocol_execution,vary_m,m,15,MiaoSCIS2026,Challenge,15,10,20,690,15625,0.015011111,0.000212219,3,True
protocol_execution,vary_m,m,15,MiaoSCIS2026,ProofGen,15,10,20,690,15625,0.827896653,0.012036054,3,True
protocol_execution,vary_m,m,15,MiaoSCIS2026,Verify,15,10,20,690,15625,1.640235125,0.039523987,3,True
protocol_execution,vary_m,m,15,MiaoSCIS2026,Audit,15,10,20,690,15625,2.483142889,0.051669834,3,True
protocol_execution,vary_m,m,15,XuTIFS26,Store,15,10,20,690,15625,25.667286208,0.051127923,3,True
protocol_execution,vary_m,m,15,XuTIFS26,Challenge,15,10,20,690,15625,0.002062264,1.6903e-05,3,True
protocol_execution,vary_m,m,15,XuTIFS26,ProofGen,15,10,20,690,15625,0.243743778,0.002192311,3,True
protocol_execution,vary_m,m,15,XuTIFS26,Verify,15,10,20,690,15625,1.035879875,0.011503486,3,True
protocol_execution,vary_m,m,15,XuTIFS26,Audit,15,10,20,690,15625,1.281685916,0.010071607,3,True
protocol_execution,vary_m,m,15,FoldAudit,Store,15,10,20,690,15625,26.429523514,0.12088568,3,True
protocol_execution,vary_m,m,15,FoldAudit,Challenge,15,10,20,690,15625,0.002536306,0.000267834,3,True
protocol_execution,vary_m,m,15,FoldAudit,ProofGen,15,10,20,690,15625,0.343101472,0.026038892,3,True
protocol_execution,vary_m,m,15,FoldAudit,Verify,15,10,20,690,15625,1.089393695,0.076383911,3,True
protocol_execution,vary_m,m,15,FoldAudit,Audit,15,10,20,690,15625,1.435031473,0.102597557,3,True
protocol_execution,vary_m,m,20,YuTC25,Store,20,10,20,690,15625,35.080515153,0.18255802,3,True
protocol_execution,vary_m,m,20,YuTC25,Challenge,20,10,20,690,15625,0.043019111,0.001175661,3,True
protocol_execution,vary_m,m,20,YuTC25,ProofGen,20,10,20,690,15625,0.299516194,0.007441803,3,True
protocol_execution,vary_m,m,20,YuTC25,Verify,20,10,20,690,15625,1.453499001,0.010011969,3,True
protocol_execution,vary_m,m,20,YuTC25,Audit,20,10,20,690,15625,1.796034306,0.011141191,3,True
protocol_execution,vary_m,m,20,ZhangTPDS23,Store,20,10,20,690,15625,79.9883985,0.527975934,3,True
protocol_execution,vary_m,m,20,ZhangTPDS23,Challenge,20,10,20,690,15625,0.043968111,0.001844123,3,True
protocol_execution,vary_m,m,20,ZhangTPDS23,ProofGen,20,10,20,690,15625,1.503219528,0.016683666,3,True
