measurement_method,scenario,variable,value,scheme,phase,m,B_MB,s,c,n,seconds,seconds_stddev,repeats,ok
protocol_execution,vary_B,B_MB,30,YuTC25,Verify,5,30,20,690,46875,0.446472139,0.072189599,3,True
protocol_execution,vary_B,B_MB,30,YuTC25,Audit,5,30,20,690,46875,0.570382903,0.134370939,3,True
protocol_execution,vary_B,B_MB,30,ZhangTPDS23,Store,5,30,20,690,46875,60.534635708,0.800392153,3,True
protocol_execution,vary_B,B_MB,30,ZhangTPDS23,Challenge,5,30,20,690,46875,0.010352667,0.000272192,3,True
protocol_execution,vary_B,B_MB,30,ZhangTPDS23,ProofGen,5,30,20,690,46875,0.368207903,0.012224009,3,True
protocol_execution,vary_B,B_MB,30,ZhangTPDS23,Verify,5,30,20,690,46875,0.880002958,0.007264503,3,True
protocol_execution,vary_B,B_MB,30,ZhangTPDS23,Audit,5,30,20,690,46875,1.258563527,0.012364373,3,True
protocol_execution,vary_B,B_MB,30,MiaoSCIS2026,Store,5,30,20,690,46875,56.522829583,0.100756931,3,True
protocol_execution,vary_B,B_MB,30,MiaoSCIS2026,Challenge,5,30,20,690,46875,0.005692375,0.000140054,3,True
protocol_execution,vary_B,B_MB,30,MiaoSCIS2026,ProofGen,5,30,20,690,46875,0.274815125,0.001273597,3,True
protocol_execution,vary_B,B_MB,30,MiaoSCIS2026,Verify,5,30,20,690,46875,0.556411014,0.010625945,3,True
protocol_execution,vary_B,B_MB,30,MiaoSCIS2026,Audit,5,30,20,690,46875,0.836918513,0.009780293,3,True
protocol_execution,vary_B,B_MB,30,XuTIFS26,Store,5,30,20,690,46875,25.947327903,0.027068672,3,True
protocol_execution,vary_B,B_MB,30,XuTIFS26,Challenge,5,30,20,690,46875,0.002092888,4.5982e-05,3,True
protocol_execution,vary_B,B_MB,30,XuTIFS26,ProofGen,5,30,20,690,46875,0.084165764,0.00349199,3,True
protocol_execution,vary_B,B_MB,30,XuTIFS26,Verify,5,30,20,690,46875,0.370807834,0.012306492,3,True
protocol_execution,vary_B,B_MB,30,XuTIFS26,Audit,5,30,20,690,46875,0.457066486,0.011587082,3,True
protocol_execution,vary_B,B_MB,30,FoldAudit,Store,5,30,20,690,46875,26.844316778,0.30637884,3,True
protocol_execution,vary_B,B_MB,30,FoldAudit,Challenge,5,30,20,690,46875,0.000971389,9.2414e-05,3,True
protocol_execution,vary_B,B_MB,30,FoldAudit,ProofGen,5,30,20,690,46875,0.115076278,0.00251358,3,True
protocol_execution,vary_B,B_MB,30,FoldAudit,Verify,5,30,20,690,46875,0.432889458,0.014813315,3,True
protocol_execution,vary_B,B_MB,30,FoldAudit,Audit,5,30,20,690,46875,0.548937125,0.016768943,3,True
protocol_execution,vary_B,B_MB,40,YuTC25,Store,5,40,20,690,62500,34.462907653,0.06301664,3,True
