measurement_method,scenario,variable,value,scheme,phase,m,B_MB,s,c,n,seconds,seconds_stddev,repeats,ok
protocol_execution,vary_m,m,10,ZhangTPDS23,Challenge,10,10,20,690,15625,0.021171264,0.000595737,3,true
protocol_execution,vary_m,m,10,ZhangTPDS23,ProofGen,10,10,20,690,15625,0.693572389,0.002169563,3,true
protocol_execution,vary_m,m,10,ZhangTPDS23,Verify,10,10,20,690,15625,1.688357347,0.042188544,3,true
protocol_execution,vary_m,m,10,ZhangTPDS23,Audit,10,10,20,690,15625,2.403101001,0.043767340,3,true
protocol_execution,vary_m,m,10,MiaoSCIS2026,Store,10,10,20,690,15625,37.273790542,0.272369050,3,true
protocol_execution,vary_m,m,10,MiaoSCIS2026,Challenge,10,10,20,690,15625,0.010588778,0.000220166,3,true
protocol_execution,vary_m,m,10,MiaoSCIS2026,ProofGen,10,10,20,690,15625,0.552159875,0.009496592,3,true
protocol_execution,vary_m,m,10,MiaoSCIS2026,Verify,10,10,20,690,15625,1.092753361,0.022651510,3,true
protocol_execution,vary_m,m,10,MiaoSCIS2026,Audit,10,10,20,690,15625,1.655502014,0.031912478,3,true
protocol_execution,vary_m,m,10,XuTIFS26,Store,10,10,20,690,15625,16.926299305,0.006369031,3,true
protocol_execution,vary_m,m,10,XuTIFS26,Challenge,10,10,20,690,15625,0.002117153,0.000023207,3,true
protocol_execution,vary_m,m,10,XuTIFS26,ProofGen,10,10,20,690,15625,0.162051625,0.006037915,3,true
protocol_execution,vary_m,m,10,XuTIFS26,Verify,10,10,20,690,15625,0.699690028,0.029037240,3,true
protocol_execution,vary_m,m,10,XuTIFS26,Audit,10,10,20,690,15625,0.863858806,0.033553841,3,true
protocol_execution,vary_m,m,10,FoldAudit,Store,10,10,20,690,15625,17.488388708,0.060948104,3,true
protocol_execution,vary_m,m,10,FoldAudit,Challenge,10,10,20,690,15625,0.001700333,0.000061796,3,true
protocol_execution,vary_m,m,10,FoldAudit,ProofGen,10,10,20,690,15625,0.214928069,0.011073566,3,true
protocol_execution,vary_m,m,10,FoldAudit,Verify,10,10,20,690,15625,0.757199500,0.035550378,3,true
protocol_execution,vary_m,m,10,FoldAudit,Audit,10,10,20,690,15625,0.973827902,0.046002162,3,true
protocol_execution,vary_m,m,15,YuTC25,Store,15,10,20,690,15625,25.632818944,0.055592041,3,true
protocol_execution,vary_m,m,15,YuTC25,Challenge,15,10,20,690,15625,0.032409083,0.000827988,3,true
protocol_execution,vary_m,m,15,YuTC25,ProofGen,15,10,20,690,15625,0.213881028,0.005999997,3,true
protocol_execution,vary_m,m,15,YuTC25,Verify,15,10,20,690,15625,1.079606931,0.016142555,3,true
protocol_execution,vary_m,m,15,YuTC25,Audit,15,10,20,690,15625,1.325897041,0.009648767,3,true
protocol_execution,vary_m,m,15,ZhangTPDS23,Store,15,10,20,690,15625,59.385246667,0.089934405,3,true
protocol_execution,vary_m,m,15,ZhangTPDS23,Challenge,15,10,20,690,15625,0.030997973,0.000155411,3,true
protocol_execution,vary_m,m,15,ZhangTPDS23,ProofGen,15,10,20,690,15625,1.063682569,0.007212333,3,true
protocol_execution,vary_m,m,15,ZhangTPDS23,Verify,15,10,20,690,15625,2.518074458,0.025564905,3,true
protocol_execution,vary_m,m,15,ZhangTPDS23,Audit,15,10,20,690,15625,3.612755000,0.029007517,3,true
protocol_execution,vary_m,m,15,MiaoSCIS2026,Store,15,10,20,690,15625,56.333967653,0.252599640,3,true
protocol_execution,vary_m,m,15,MiaoSCIS2026,Challenge,15,10,20,690,15625,0.015011111,0.000212219,3,true
protocol_execution,vary_m,m,15,MiaoSCIS2026,ProofGen,15,10,20,690,15625,0.827896653,0.012036054,3,true
protocol_execution,vary_m,m,15,MiaoSCIS2026,Verify,15,10,20,690,15625,1.640235125,0.039523987,3,true
protocol_execution,vary_m,m,15,MiaoSCIS2026,Audit,15,10,20,690,15625,2.483142889,0.051669834,3,true
protocol_execution,vary_m,m,15,XuTIFS26,Store,15,10,20,690,15625,25.667286208,0.051127923,3,true
protocol_execution,vary_m,m,15,XuTIFS26,Challenge,15,10,20,690,15625,0.002062264,0.000016903,3,true
